Bookmarks;Bookmarks;Отметки;Segnalibri;Lesezeichen;Signets
Bulgaria;Bulgaria;България;Bulgaria;Bulgarien;Bulgarie 
CaseLaw;Case law;Съдебна практика;Giurisprudenza;Rechtsprechung;Jurisprudence
ContactNationalDPA;Contact with National Data Protection Authorities;Контакт с националните надзорни органи;Contatto con i autorita nazionali per la protezione dei dati;Kontakt mit den nationalen Datenschutzbehörden;Contact avec les autorités nationales de protection des données
Decisions;Decisions;Решения;Decisioni;Entscheidungen;Décisions
DecisionSupportTool;Decision support tools;Инструменти за подпомагане вземането на решения;Strumenti di supporto decisionale;Tools zur Entscheidungsunterstützung;Outils d'aide à la décision
DocumentContent;Document content;Съдържание на документа;Contenuto del documento;Inhalt des Dokuments ;Contenu du document
Erase;Erase;Изтрий;Cancellare;Löschen;Effacer
EUlegalframework;EU legal framework;Правна рамка на ЕС;Quadro giuridico dell'UE;EU-Rechtsrahmen;Cadre légal européen
EuropeanDataProtectionBoard;European Data Protection Board;Европейски комитет по защита на данните;Comitato europeo per la protezione dei dati;Der Europäische Datenschutzausschuss;Comité européen de la protection des données
EuropeanDataProtectionSupervisor;European Data Protection Supervisor;Европейски надзорен орган по защита на данните;Garante europeo della protezione dei dati;Der Europäische Datenschutzbeauftragte;Contrôleur européen de la protection des données
EuropeanUnion;European Union;Европейски съюз;Unione europea;Europäische Union;Union européenne
FAQ;Frequently asked questions;Често задавани въпроси;Domande frequenti;Häufig gestellte Fragen;Questions fréquemment posées
GdprDictionary;GDPR dictionary;GDPR речник;Dizionario GDPR;GDPR-Wörterbuch;Dictionnaire GDPR
GDPRMadeSimple;GDPR made simple;GDPR представен достъпно;GDPR reso semplice;GDPR ganz einfach;Le GDPR simplifié
GdprPocket;GDPR in Your Pocket;GDPR в твоя джоб;GDPR in tasca;GDPR in Ihrer Tasche;GDPR dans votre poche
GuideForCitizens;Guide for citizens;Ръководство за граждани;Guida per i cittadini;Leitfaden für Bürger ;Guide du citoyen
GuideForSMEs;Guide for SMEs;Ръководство за МСП;Guida per le PMI;Leitfaden für KMU;Guide à destination des PME
Guidelines1;Guidelines;Насоки;Linee guida;Leitlinien;Lignes directrices
Guidelines2;Guidelines;Насоки;Provvedimenti generali;Leitlinien;Lignes directrices
Help;Help;Помощ;Aiuto;Hilfe;Aide
International;International acts;Международни актове;Atti internazionali;Internationale Rechtsvorschriften;Actes internationaux
InternationalCaseLaw;International case law;Международна съдебна практика;Giurisprudenza internazionale;Internationale Rechtsprechung;Jurisprudence internationale
InternationalTreaties;International treaties;Международни договори;Trattati internazionali;Internationale Verträge;Accords internationaux
Italy;Italy;Италия;Italia;Italien;Italie
Language;Language;Език;Lingua;Sprache;Langue
LegalLibrary;Legal library;Правна библиотека;Biblioteca legale;Rechtsbibliothek;Bibliothèque juridique
Legislation;Legislation;Законодателство;Legislazioni;Gesetzgebung;Législation
MainPageCaption;Main page;Основна страница;Pagina principale;Hauptseite;Page principale
MainPageFooter;SMEDATA Project is funded by the EU's Rights, Equality and Citizenship Programme (2014-2020);"Проектът SMEDATA се финансира от Програма "Права, равенство и гражданство" на ЕС (2014-2020)";Il progetto SMEDATA e finanziato dal programma UE per i diritti, l'uguaglianza e la cittadinanza (2014-2020);"Das SMEDATA Projekt ist von dem EU-Programm "Rechte, Gleichstellung und Unionsbürgerschaft" (2014-2020) finanziert.";"Le projet SMEDATA est financé par le programme de l'UE pour les droits, l'égalité et la citoyenneté (2014-2020)"
Menu;Menu;Меню;Menu;Menü;Menu
National;National acts;Национални актове;Atti nazionali;Nationale  Rechtsvorschriften;Législation nationale
NationalCaseLaw;National case law;Национална съдебна практика;Giurisprudenza nazionale;Nationale Rechtsprechung;Jurisprudence nationale
NationalGuidelines;National guidelines;Национални насоки;Linee guida nazionali;Nationale Leitlinien;Lignes directrices nationales
Next;Next;Следващ;Avanti;Folgende;Suivant
Opinions;Opinions;Становища;Pareri;Stellungnahmen;Opinions
OtherCourts;Other courts;Други съдилища;Altri tribunali;Andere Gerichte;Autres tribunaux
